opponent_actual_hand,player_actual_hand,opponent_progress,opponent_pattern,p2_nerv,config,overlap_pct,player_progress,player_pattern,p2_type,final_turn,shared_tiles,overlap_category,p1_nerv,p1_type
"Tile[Tile(""White Dragon""), Tile(""Green Dragon""), Tile(""4 Bamboo""), Tile(""Flower""), Tile(""2 Bamboo""), Tile(""2 Dot""), Tile(""6 Bamboo""), Tile(""6 Bamboo""), Tile(""8 Dot""), Tile(""4 Bamboo""), Tile(""White Dragon""), Tile(""Flower""), Tile(""9 Character"")]","Tile[Tile(""2 Dot""), Tile(""Flower""), Tile(""2 Dot""), Tile(""Flower""), Tile(""2 Bamboo""), Tile(""Flower""), Tile(""2 Bamboo""), Tile(""Flower""), Tile(""2 Character""), Tile(""Red Dragon""), Tile(""2 Dot""), Tile(""2 Bamboo""), Tile(""2 Character"")]",0.35714285714285715,FF 2222 D 2222 D 22 - Bamboo/Character/Dot,none,p1_only,100.0,0.7857142857142857,FF 2222 D 2222 D 22 - Bamboo/Character/Dot,bayesian,118,6,100% (Exact),10,bayesian
"Tile[Tile(""Flower""), Tile(""Flower""), Tile(""Flower""), Tile(""Flower""), Tile(""Flower""), Tile(""2 Character""), Tile(""2 Character""), Tile(""Flower""), Tile(""2 Dot""), Tile(""5 Bamboo""), Tile(""White Dragon""), Tile(""2 Bamboo""), Tile(""2 Character"")]","Tile[Tile(""2 Bamboo""), Tile(""2 Dot""), Tile(""2 Dot""), Tile(""2 Character""), Tile(""2 Bamboo""), Tile(""2 Dot""), Tile(""5 Dot""), Tile(""White Dragon""), Tile(""5 Dot""), Tile(""5 Dot""), Tile(""White Dragon""), Tile(""5 Dot""), Tile(""White Dragon"")]",0.6428571428571429,FFFF 22 222 222 22 - Bamboo/Character/Dot,none,p1_only,100.0,0.42857142857142855,FFFF 22 222 222 22 - Bamboo/Character/Dot,bayesian,118,4,100% (Exact),10,bayesian
"Tile[Tile(""White Dragon""), Tile(""2 Dot""), Tile(""White Dragon""), Tile(""Flower""), Tile(""Flower""), Tile(""Flower""), Tile(""2 Dot""), Tile(""2 Character""), Tile(""White Dragon""), Tile(""5 Bamboo""), Tile(""5 Dot""), Tile(""White Dragon""), Tile(""2 Bamboo"")]","Tile[Tile(""Flower""), Tile(""2 Character""), Tile(""2 Bamboo""), Tile(""2 Dot""), Tile(""2 Bamboo""), Tile(""Flower""), Tile(""2 Dot""), Tile(""5 Character""), Tile(""Flower""), Tile(""Red Dragon""), Tile(""5 Dot""), Tile(""1 Bamboo""), Tile(""3 Dot"")]",0.7857142857142857,FF 2025 2025 2025,none,p1_only,100.0,0.6428571428571429,FF 2025 2025 2025,bayesian,118,8,100% (Exact),10,bayesian
"Tile[Tile(""2 Bamboo""), Tile(""5 Bamboo""), Tile(""South Wind""), Tile(""South Wind""), Tile(""West Wind""), Tile(""East Wind""), Tile(""North Wind""), Tile(""5 Character""), Tile(""6 Bamboo""), Tile(""East Wind""), Tile(""White Dragon""), Tile(""Red Dragon""), Tile(""8 Character"")]","Tile[Tile(""4 Dot""), Tile(""4 Bamboo""), Tile(""4 Dot""), Tile(""1 Bamboo""), Tile(""1 Dot""), Tile(""7 Character""), Tile(""8 Character""), Tile(""2 Dot""), Tile(""5 Bamboo""), Tile(""9 Bamboo""), Tile(""6 Character""), Tile(""5 Bamboo""), Tile(""North Wind"")]",0.9285714285714286,NN EEE WWW SS 2025 - Bamboo,none,p1_only,100.0,0.07142857142857142,NN EEE WWW SS 2025 - Bamboo,bayesian,109,7,100% (Exact),5,bayesian
"Tile[Tile(""9 Character""), Tile(""1 Bamboo""), Tile(""1 Bamboo""), Tile(""3 Dot""), Tile(""9 Bamboo""), Tile(""5 Bamboo""), Tile(""5 Bamboo""), Tile(""9 Character""), Tile(""7 Bamboo""), Tile(""3 Bamboo""), Tile(""7 Bamboo""), Tile(""5 Bamboo""), Tile(""9 Bamboo"")]","Tile[Tile(""1 Character""), Tile(""1 Character""), Tile(""1 Bamboo""), Tile(""1 Dot""), Tile(""1 Dot""), Tile(""1 Dot""), Tile(""3 Bamboo""), Tile(""3 Bamboo""), Tile(""9 Bamboo""), Tile(""5 Character""), Tile(""3 Dot""), Tile(""7 Bamboo""), Tile(""3 Dot"")]",0.6428571428571429,11 33 55 77 99 11 11 - Bamboo/Character/Dot,none,p1_only,100.0,0.6428571428571429,11 33 55 77 99 11 11 - Bamboo/Character/Dot,bayesian,118,7,100% (Exact),5,bayesian
"Tile[Tile(""4 Bamboo""), Tile(""4 Dot""), Tile(""4 Dot""), Tile(""Flower""), Tile(""4 Character""), Tile(""Flower""), Tile(""4 Character""), Tile(""Flower""), Tile(""Flower""), Tile(""4 Dot""), Tile(""4 Character""), Tile(""Flower""), Tile(""4 Bamboo"")]","Tile[Tile(""4 Dot""), Tile(""4 Bamboo""), Tile(""4 Bamboo""), Tile(""4 Character""), Tile(""3 Bamboo""), Tile(""3 Dot""), Tile(""3 Dot""), Tile(""3 Bamboo""), Tile(""3 Character""), Tile(""2 Character""), Tile(""2 Character""), Tile(""2 Dot""), Tile(""3 Character"")]",0.8571428571428571,FFFF 44 444 444 44 - Bamboo/Character/Dot,none,p1_only,100.0,0.2857142857142857,FFFF 44 444 444 44 - Bamboo/Character/Dot,bayesian,118,4,100% (Exact),5,bayesian
"Tile[Tile(""3 Bamboo""), Tile(""4 Bamboo""), Tile(""Flower""), Tile(""4 Character""), Tile(""3 Character""), Tile(""3 Bamboo""), Tile(""3 Bamboo""), Tile(""4 Character""), Tile(""3 Character""), Tile(""3 Dot""), Tile(""Flower""), Tile(""3 Character""), Tile(""3 Dot"")]","Tile[Tile(""4 Bamboo""), Tile(""4 Dot""), Tile(""4 Dot""), Tile(""4 Bamboo""), Tile(""Flower""), Tile(""Flower""), Tile(""Flower""), Tile(""Flower""), Tile(""3 Dot""), Tile(""3 Dot""), Tile(""White Dragon""), Tile(""6 Character""), Tile(""5 Bamboo"")]",0.7142857142857143,FFFF 33 333 333 33 - Bamboo/Character/Dot,none,p1_only,100.0,0.42857142857142855,FFFF 33 333 333 33 - Bamboo/Character/Dot,bayesian,118,4,100% (Exact),5,bayesian
"Tile[Tile(""2 Bamboo""), Tile(""2 Bamboo""), Tile(""4 Dot""), Tile(""1 Bamboo""), Tile(""Flower""), Tile(""3 Bamboo""), Tile(""1 Character""), Tile(""1 Bamboo""), Tile(""2 Character""), Tile(""1 Dot""), Tile(""1 Character""), Tile(""East Wind""), Tile(""1 Dot"")]","Tile[Tile(""2 Character""), Tile(""2 Dot""), Tile(""2 Dot""), Tile(""2 Dot""), Tile(""Flower""), Tile(""2 Character""), Tile(""Flower""), Tile(""2 Dot""), Tile(""2 Character""), Tile(""Flower""), Tile(""Flower""), Tile(""2 Bamboo""), Tile(""Flower"")]",0.2857142857142857,FFFF 22 222 222 22 - Bamboo/Character/Dot,none,p1_only,100.0,0.7857142857142857,FFFF 22 222 222 22 - Bamboo/Character/Dot,bayesian,118,4,100% (Exact),5,bayesian
"Tile[Tile(""5 Dot""), Tile(""5 Dot""), Tile(""4 Dot""), Tile(""5 Dot""), Tile(""3 Dot""), Tile(""4 Dot""), Tile(""3 Dot""), Tile(""6 Dot""), Tile(""3 Dot""), Tile(""5 Character""), Tile(""6 Dot""), Tile(""6 Dot""), Tile(""7 Bamboo"")]","Tile[Tile(""4 Dot""), Tile(""3 Bamboo""), Tile(""3 Bamboo""), Tile(""4 Dot""), Tile(""6 Dot""), Tile(""6 Character""), Tile(""3 Dot""), Tile(""6 Bamboo""), Tile(""8 Character""), Tile(""Red Dragon""), Tile(""7 Bamboo""), Tile(""3 Bamboo""), Tile(""3 Character"")]",0.7857142857142857,333 4444 555 6666 - Dot,none,p1_only,100.0,0.2857142857142857,333 4444 555 6666 - Dot,bayesian,118,4,100% (Exact),5,bayesian
"Tile[Tile(""Flower""), Tile(""Flower""), Tile(""Flower""), Tile(""7 Dot""), Tile(""7 Character""), Tile(""7 Bamboo""), Tile(""Flower""), Tile(""7 Dot""), Tile(""7 Bamboo""), Tile(""3 Dot""), Tile(""South Wind""), Tile(""5 Character""), Tile(""8 Dot"")]","Tile[Tile(""Flower""), Tile(""Flower""), Tile(""4 Bamboo""), Tile(""4 Dot""), Tile(""4 Dot""), Tile(""4 Character""), Tile(""4 Character""), Tile(""4 Bamboo""), Tile(""3 Character""), Tile(""3 Bamboo""), Tile(""3 Character""), Tile(""3 Dot""), Tile(""3 Bamboo"")]",0.21428571428571427,FF 33 44 33 44 33 44 - Bamboo/Character/Dot,none,p1_only,100.0,0.9285714285714286,FF 33 44 33 44 33 44 - Bamboo/Character/Dot,bayesian,118,7,100% (Exact),5,bayesian
"Tile[Tile(""Flower""), Tile(""2 Dot""), Tile(""2 Bamboo""), Tile(""Flower""), Tile(""2 Dot""), Tile(""2 Bamboo""), Tile(""Flower""), Tile(""2 Character""), Tile(""2 Character""), Tile(""2 Bamboo""), Tile(""Flower""), Tile(""2 Bamboo""), Tile(""2 Dot"")]","Tile[Tile(""Flower""), Tile(""3 Bamboo""), Tile(""6 Bamboo""), Tile(""2 Dot""), Tile(""2 Character""), Tile(""White Dragon""), Tile(""2 Character""), Tile(""White Dragon""), Tile(""Green Dragon""), Tile(""5 Dot""), Tile(""5 Bamboo""), Tile(""6 Character""), Tile(""4 Bamboo"")]",0.9285714285714286,FFFF 22 222 222 22 - Bamboo/Character/Dot,none,p1_only,100.0,0.2857142857142857,FFFF 22 222 222 22 - Bamboo/Character/Dot,bayesian,118,4,100% (Exact),5,bayesian
"Tile[Tile(""6 Bamboo""), Tile(""6 Bamboo""), Tile(""4 Bamboo""), Tile(""4 Bamboo""), Tile(""8 Bamboo""), Tile(""8 Bamboo""), Tile(""8 Bamboo""), Tile(""2 Dot""), Tile(""4 Bamboo""), Tile(""2 Character""), Tile(""2 Dot""), Tile(""8 Bamboo""), Tile(""4 Bamboo"")]","Tile[Tile(""2 Character""), Tile(""2 Bamboo""), Tile(""2 Dot""), Tile(""Flower""), Tile(""2 Character""), Tile(""2 Bamboo""), Tile(""2 Dot""), Tile(""2 Character""), Tile(""2 Bamboo""), Tile(""Flower""), Tile(""Flower""), Tile(""Flower""), Tile(""2 Bamboo"")]",0.21428571428571427,FFFF 22 222 222 22 - Bamboo/Character/Dot,none,p1_only,100.0,0.9285714285714286,FFFF 22 222 222 22 - Bamboo/Character/Dot,bayesian,118,4,100% (Exact),5,bayesian
"Tile[Tile(""Flower""), Tile(""Flower""), Tile(""Flower""), Tile(""Flower""), Tile(""Green Dragon""), Tile(""Green Dragon""), Tile(""South Wind""), Tile(""Red Dragon""), Tile(""West Wind""), Tile(""North Wind""), Tile(""East Wind""), Tile(""South Wind""), Tile(""Flower"")]","Tile[Tile(""Red Dragon""), Tile(""Red Dragon""), Tile(""6 Bamboo""), Tile(""Green Dragon""), Tile(""4 Bamboo""), Tile(""3 Dot""), Tile(""8 Bamboo""), Tile(""5 Bamboo""), Tile(""2 Bamboo""), Tile(""East Wind""), Tile(""East Wind""), Tile(""2 Bamboo""), Tile(""6 Bamboo"")]",0.7857142857142857,FFFF DDD NEWS DDD,none,p1_only,100.0,0.2857142857142857,FFFF DDD NEWS DDD,bayesian,118,7,100% (Exact),3,bayesian
"Tile[Tile(""4 Character""), Tile(""2 Character""), Tile(""West Wind""), Tile(""6 Bamboo""), Tile(""4 Bamboo""), Tile(""Red Dragon""), Tile(""2 Bamboo""), Tile(""Flower""), Tile(""8 Bamboo""), Tile(""Red Dragon""), Tile(""Flower""), Tile(""Flower""), Tile(""4 Dot"")]","Tile[Tile(""Flower""), Tile(""2 Bamboo""), Tile(""Flower""), Tile(""2 Character""), Tile(""4 Bamboo""), Tile(""6 Bamboo""), Tile(""Green Dragon""), Tile(""8 Character""), Tile(""4 Bamboo""), Tile(""2 Bamboo""), Tile(""6 Character""), Tile(""Green Dragon""), Tile(""4 Character"")]",0.7142857142857143,FF 2468 DD 2468 DD - Bamboo/Character,none,p1_only,100.0,0.7857142857142857,FF 2468 DD 2468 DD - Bamboo/Character,bayesian,118,11,100% (Exact),3,bayesian
"Tile[Tile(""4 Bamboo""), Tile(""6 Dot""), Tile(""Flower""), Tile(""Flower""), Tile(""6 Bamboo""), Tile(""6 Bamboo""), Tile(""Flower""), Tile(""6 Bamboo""), Tile(""5 Dot""), Tile(""5 Bamboo""), Tile(""5 Bamboo""), Tile(""Flower""), Tile(""6 Dot"")]","Tile[Tile(""4 Bamboo""), Tile(""4 Bamboo""), Tile(""4 Dot""), Tile(""Flower""), Tile(""6 Dot""), Tile(""4 Character""), Tile(""4 Character""), Tile(""Flower""), Tile(""4 Dot""), Tile(""5 Dot""), Tile(""7 Dot""), Tile(""5 Dot""), Tile(""9 Character"")]",0.7857142857142857,FF 4 55 666 4 55 666 - Bamboo/Dot,none,p1_only,100.0,0.5,FF 4 55 666 4 55 666 - Bamboo/Dot,bayesian,118,7,100% (Exact),3,bayesian
"Tile[Tile(""3 Bamboo""), Tile(""6 Bamboo""), Tile(""3 Dot""), Tile(""6 Bamboo""), Tile(""9 Bamboo""), Tile(""3 Bamboo""), Tile(""9 Bamboo""), Tile(""6 Bamboo""), Tile(""9 Bamboo""), Tile(""9 Bamboo""), Tile(""Flower""), Tile(""6 Bamboo""), Tile(""Flower"")]","Tile[Tile(""Flower""), Tile(""Flower""), Tile(""3 Dot""), Tile(""3 Dot""), Tile(""3 Bamboo""), Tile(""Flower""), Tile(""Flower""), Tile(""3 Bamboo""), Tile(""Flower""), Tile(""East Wind""), Tile(""4 Dot""), Tile(""West Wind""), Tile(""2 Dot"")]",0.8571428571428571,FF 3333+6666=9999 - Bamboo,none,p1_only,100.0,0.2857142857142857,FF 3333+6666=9999 - Bamboo,bayesian,118,4,100% (Exact),3,bayesian
"Tile[Tile(""3 Character""), Tile(""9 Character""), Tile(""3 Character""), Tile(""3 Character""), Tile(""6 Character""), Tile(""9 Bamboo""), Tile(""6 Bamboo""), Tile(""3 Bamboo""), Tile(""2 Dot""), Tile(""North Wind""), Tile(""5 Character""), Tile(""5 Bamboo""), Tile(""White Dragon"")]","Tile[Tile(""5 Character""), Tile(""White Dragon""), Tile(""7 Character""), Tile(""North Wind""), Tile(""1 Dot""), Tile(""South Wind""), Tile(""1 Character""), Tile(""South Wind""), Tile(""West Wind""), Tile(""7 Dot""), Tile(""5 Dot""), Tile(""3 Dot""), Tile(""6 Character"")]",0.7857142857142857,336699 336699 33 - Bamboo/Character/Dot,none,p1_only,100.0,0.2857142857142857,336699 336699 33 - Bamboo/Character/Dot,bayesian,111,7,100% (Exact),3,bayesian
"Tile[Tile(""6 Bamboo""), Tile(""Flower""), Tile(""4 Bamboo""), Tile(""Flower""), Tile(""Flower""), Tile(""8 Bamboo""), Tile(""2 Character""), Tile(""2 Dot""), Tile(""2 Character""), Tile(""Flower""), Tile(""8 Bamboo""), Tile(""6 Bamboo""), Tile(""4 Bamboo"")]","Tile[Tile(""2 Bamboo""), Tile(""2 Character""), Tile(""2 Character""), Tile(""2 Bamboo""), Tile(""2 Dot""), Tile(""2 Dot""), Tile(""Flower""), Tile(""2 Bamboo""), Tile(""Flower""), Tile(""Green Dragon""), Tile(""Green Dragon""), Tile(""Green Dragon""), Tile(""2 Dot"")]",0.5,FFFF 22 222 222 22 - Bamboo/Character/Dot,none,p1_only,100.0,0.7142857142857143,FFFF 22 222 222 22 - Bamboo/Character/Dot,bayesian,118,4,100% (Exact),3,bayesian
"Tile[Tile(""5 Dot""), Tile(""6 Character""), Tile(""5 Character""), Tile(""Flower""), Tile(""5 Dot""), Tile(""6 Dot""), Tile(""5 Dot""), Tile(""6 Character""), Tile(""6 Dot""), Tile(""7 Dot""), Tile(""7 Dot""), Tile(""Flower""), Tile(""7 Dot"")]","Tile[Tile(""Flower""), Tile(""Flower""), Tile(""Flower""), Tile(""7 Bamboo""), Tile(""7 Character""), Tile(""Green Dragon""), Tile(""White Dragon""), Tile(""7 Bamboo""), Tile(""White Dragon""), Tile(""7 Dot""), Tile(""7 Character""), Tile(""7 Character""), Tile(""North Wind"")]",0.7857142857142857,FF 5 66 777 5 66 777 - Character/Dot,none,p1_only,50.0,0.7857142857142857,FF 7777 D 7777 D 77 - Bamboo/Character/Dot,bayesian,118,3,50-74%,3,bayesian
"Tile[Tile(""East Wind""), Tile(""9 Bamboo""), Tile(""West Wind""), Tile(""8 Bamboo""), Tile(""8 Bamboo""), Tile(""6 Bamboo""), Tile(""8 Bamboo""), Tile(""6 Bamboo""), Tile(""4 Bamboo""), Tile(""3 Character""), Tile(""8 Dot""), Tile(""1 Character""), Tile(""2 Character"")]","Tile[Tile(""2 Bamboo""), Tile(""East Wind""), Tile(""2 Bamboo""), Tile(""7 Dot""), Tile(""9 Character""), Tile(""4 Character""), Tile(""Red Dragon""), Tile(""3 Dot""), Tile(""West Wind""), Tile(""Flower""), Tile(""7 Bamboo""), Tile(""6 Character""), Tile(""West Wind"")]",0.7857142857142857,NN EW SS 66 77 88 99 - Bamboo,none,p1_only,100.0,0.2857142857142857,NN EW SS 66 77 88 99 - Bamboo,bayesian,109,8,100% (Exact),3,bayesian
"Tile[Tile(""7 Character""), Tile(""7 Character""), Tile(""West Wind""), Tile(""East Wind""), Tile(""West Wind""), Tile(""7 Character""), Tile(""North Wind""), Tile(""5 Character""), Tile(""East Wind""), Tile(""9 Bamboo""), Tile(""7 Bamboo""), Tile(""5 Character""), Tile(""South Wind"")]","Tile[Tile(""Flower""), Tile(""Flower""), Tile(""7 Bamboo""), Tile(""Flower""), Tile(""6 Dot""), Tile(""9 Bamboo""), Tile(""1 Dot""), Tile(""Flower""), Tile(""2 Bamboo""), Tile(""7 Dot""), Tile(""East Wind""), Tile(""3 Character""), Tile(""7 Bamboo"")]",0.7857142857142857,55 777 NEWS 777 99 - Character/Bamboo,none,p1_only,100.0,0.2857142857142857,55 777 NEWS 777 99 - Character/Bamboo,bayesian,118,8,100% (Exact),3,bayesian
"Tile[Tile(""3 Character""), Tile(""9 Bamboo""), Tile(""3 Dot""), Tile(""6 Bamboo""), Tile(""3 Bamboo""), Tile(""3 Bamboo""), Tile(""9 Character""), Tile(""9 Bamboo""), Tile(""3 Bamboo""), Tile(""9 Character""), Tile(""9 Character""), Tile(""6 Character""), Tile(""9 Bamboo"")]","Tile[Tile(""Flower""), Tile(""Flower""), Tile(""3 Dot""), Tile(""3 Dot""), Tile(""3 Character""), Tile(""3 Character""), Tile(""3 Character""), Tile(""Flower""), Tile(""Flower""), Tile(""Flower""), Tile(""Flower""), Tile(""Flower""), Tile(""9 Character"")]",0.35714285714285715,FFFF 33 333 333 33 - Bamboo/Character/Dot,10,p2_only,100.0,0.6428571428571429,FFFF 33 333 333 33 - Bamboo/Character/Dot,bayesian,118,4,100% (Exact),none,bayesian
